iter	MultiClass
0	1.321102623
1	1.262991425
2	1.221157482
3	1.18418128
4	1.156655887
5	1.128433604
6	1.100267179
7	1.072725235
8	1.052916198
9	1.033930338
10	1.016994357
11	1.003155794
12	0.989018666
13	0.9743737997
14	0.9610066615
15	0.9433874067
16	0.9321988183
17	0.9229173987
18	0.9148421521
19	0.9048361682
20	0.8927731892
21	0.8828694211
22	0.8740740516
23	0.8632918292
24	0.8559294955
25	0.8482027642
26	0.841546049
27	0.8337218233
28	0.8295545864
29	0.8204000215
30	0.8124515269
31	0.8062432162
32	0.7992055543
33	0.7932213466
34	0.7783251483
35	0.7723790793
36	0.7676008247
37	0.7616324475
38	0.7562426338
39	0.7499671622
40	0.7454411306
41	0.7379795163
42	0.733074519
43	0.729005696
44	0.7179252546
45	0.7142010705
46	0.7054266176
47	0.7010464246
48	0.6969956034
49	0.6925756029
50	0.6893771618
51	0.6858421839
52	0.682759864
53	0.678909825
54	0.6750224768
55	0.6714065378
56	0.6655759668
57	0.6626007203
58	0.6590161889
59	0.6549309237
60	0.6522731061
61	0.6480733411
62	0.6450659805
63	0.6418556095
64	0.6372667511
65	0.6338827192
66	0.6307636282
67	0.6266548146
68	0.6233927787
69	0.6204590062
70	0.6176155741
71	0.6153758519
72	0.6128991824
73	0.6101188045
74	0.6072555075
75	0.6046239169
76	0.6015130165
77	0.5995079497
78	0.5969440217
79	0.5937617729
80	0.5909047653
81	0.5883573269
82	0.5860139112
83	0.5842914166
84	0.5810298216
85	0.5784673156
86	0.5763196755
87	0.5738486695
88	0.5711327061
89	0.5693091917
90	0.5671528912
91	0.564234153
92	0.5617522642
93	0.5588606382
94	0.5566229103
95	0.5541125922
96	0.5522334989
97	0.5501307637
98	0.5472879826
99	0.545317638
100	0.5430144583
101	0.5411671841
102	0.5387291882
103	0.5362132116
104	0.5329214739
105	0.5307922468
106	0.5287548352
107	0.5254592078
108	0.5236672967
109	0.5212175125
110	0.5190032886
111	0.5169359735
112	0.51516757
113	0.5128996874
114	0.5113094012
115	0.5092916754
116	0.5077656907
117	0.5063220231
118	0.503961035
119	0.5024028657
120	0.5011973536
121	0.4996064849
122	0.4977974342
123	0.4911414042
124	0.489482787
125	0.4879187911
126	0.4864385724
127	0.4848314006
128	0.4829604548
129	0.4804120978
130	0.4789057289
131	0.4774706903
132	0.4763665014
133	0.4748586526
134	0.4730030127
135	0.4717430394
136	0.47007512
137	0.4687125591
138	0.4674948584
139	0.4662338773
140	0.464254566
141	0.4622396322
142	0.4614465439
143	0.4601492373
144	0.4585185974
145	0.4557923558
146	0.454479971
147	0.4532033082
148	0.4518110164
149	0.4500019573
150	0.448808322
151	0.4464825547
152	0.4449092657
153	0.4434746208
154	0.4420644702
155	0.4393327032
156	0.4380360022
157	0.4366912855
158	0.4354995273
159	0.4348978253
160	0.4328718989
161	0.4318317979
162	0.4291005348
163	0.4281174718
164	0.4269068337
165	0.4262351649
166	0.4251370274
167	0.4236758956
168	0.4225153776
169	0.4209114393
170	0.4193364493
171	0.417752968
172	0.4174103105
173	0.4165738336
174	0.4146997651
175	0.4138571887
176	0.4129508955
177	0.4120470599
178	0.411237482
179	0.4107649294
180	0.4096865362
181	0.4089167705
182	0.4080031095
183	0.4071948475
184	0.405296806
185	0.4045221073
186	0.4035576861
187	0.4021288179
188	0.4010956141
189	0.400344329
190	0.3993172153
191	0.3985470002
192	0.3978276397
193	0.3965507852
194	0.3956351977
195	0.3947553674
196	0.3934326068
197	0.3923123466
198	0.3917616227
199	0.3910287083
