iter	Passed	Remaining
0	27	5570
1	43	4310
2	59	3891
3	75	3715
4	90	3540
5	106	3437
6	121	3353
7	137	3291
8	153	3247
9	168	3200
10	183	3150
11	198	3109
12	213	3076
13	229	3051
14	244	3012
15	259	2988
16	275	2964
17	291	2942
18	306	2918
19	322	2900
20	337	2879
21	353	2856
22	367	2831
23	384	2816
24	400	2801
25	415	2778
26	430	2757
27	445	2738
28	461	2720
29	476	2699
30	491	2679
31	507	2665
32	523	2649
33	538	2629
34	554	2615
35	569	2594
36	585	2577
37	600	2560
38	616	2543
39	632	2528
40	647	2511
41	663	2494
42	678	2475
43	693	2457
44	708	2441
45	723	2423
46	739	2408
47	755	2392
48	770	2375
49	786	2359
50	801	2341
51	817	2326
52	833	2313
53	848	2295
54	864	2279
55	880	2263
56	895	2246
57	910	2230
58	926	2213
59	941	2197
60	957	2182
61	972	2165
62	987	2148
63	1002	2130
64	1017	2113
65	1032	2096
66	1048	2080
67	1063	2063
68	1078	2048
69	1095	2033
70	1109	2016
71	1125	2000
72	1139	1982
73	1154	1965
74	1169	1948
75	1184	1932
76	1199	1916
77	1215	1900
78	1229	1883
79	1244	1867
80	1259	1850
81	1275	1834
82	1291	1820
83	1307	1804
84	1322	1789
85	1337	1773
86	1353	1757
87	1367	1741
88	1383	1725
89	1398	1709
90	1414	1693
91	1429	1678
92	1444	1662
93	1461	1647
94	1476	1631
95	1491	1615
96	1507	1600
97	1522	1584
98	1537	1568
99	1552	1552
100	1567	1536
101	1582	1520
102	1598	1505
103	1613	1489
104	1629	1474
105	1644	1458
106	1660	1443
107	1675	1427
108	1690	1411
109	1705	1395
110	1720	1379
111	1736	1364
112	1751	1348
113	1767	1333
114	1783	1318
115	1798	1302
116	1815	1287
117	1831	1272
118	1846	1256
119	1863	1242
120	1879	1226
121	1894	1211
122	1909	1195
123	1925	1180
124	1941	1164
125	1957	1149
126	1972	1133
127	1988	1118
128	2003	1102
129	2019	1087
130	2036	1072
131	2052	1057
132	2067	1041
133	2082	1025
134	2098	1010
135	2115	995
136	2130	979
137	2145	964
138	2161	948
139	2176	932
140	2192	917
141	2208	901
142	2223	886
143	2239	870
144	2254	855
145	2270	839
146	2285	824
147	2301	808
148	2316	792
149	2332	777
150	2348	762
151	2364	746
152	2379	730
153	2394	715
154	2410	699
155	2425	684
156	2441	668
157	2457	653
158	2473	637
159	2488	622
160	2504	606
161	2520	591
162	2536	575
163	2553	560
164	2568	544
165	2583	529
166	2599	513
167	2615	498
168	2630	482
169	2645	466
170	2660	451
171	2676	435
172	2691	419
173	2707	404
174	2721	388
175	2737	373
176	2752	357
177	2768	342
178	2784	326
179	2799	311
180	2814	295
181	2830	279
182	2845	264
183	2861	248
184	2878	233
185	2894	217
186	2909	202
187	2925	186
188	2941	171
189	2956	155
190	2971	140
191	2987	124
192	3003	108
193	3018	93
194	3033	77
195	3050	62
196	3065	46
197	3080	31
198	3095	15
199	3111	0
