Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Description,Genre
1.0,Best of the Best,1989,1h 37m,All,6.4, (16K),Robert Radler,"Eric Roberts, Phillip Rhee, James Earl Jones",A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country - can they overcome their rivalry and work together to win?,Action
2.0,다이 하드,1988,2h 12m,18,8.2, (1M),John McTiernan,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson","A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",Action
3.0,레이더스,1981,1h 55m,12,8.4, (1.1M),Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman","In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",Action
4.0,True Lies,1994,2h 21m,15,7.3, (296K),James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold","A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",Action
5.0,The Last Samurai,2003,2h 34m,15,7.8, (496K),Edward Zwick,"Ken Watanabe, Tom Cruise, William Atherton","In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.",Action
6.0,Die Hard with a Vengeance,1995,2h 8m,15,7.6, (425K),John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson","John McClane is forced out of suspension to play a game of ""Simon Says"" by a terrorist who has planted bombs all around New York City and will detonate them if McClane doesn't do what he says.",Action
7.0,They Live,1988,1h 34m,18,7.2, (159K),John Carpenter,"Roddy Piper, Keith David, Meg Foster",They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,Action
8.0,라이언 일병 구하기,1998,2h 49m,15,8.6, (1.6M),Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",Action
9.0,Speed,1994,1h 56m,15,7.3, (415K),Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock","An extortionist bomber rigs a Los Angeles city bus to explode if its speed drops below 50 mph, forcing a young cop and a female passenger to keep it moving and save everyone on board.",Action
10.0,히트,1995,2h 50m,18,8.3, (778K),Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Action
11.0,Ronin,1998,2h 2m,15,7.2, (204K),John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone",A freelancing former U.S. intelligence agent tries to track down a mysterious package that's wanted by both the Irish and the Russian governments.,Action
12.0,Sniper,1993,1h 38m,15,6.1, (27K),Luis Llosa,"Tom Berenger, Billy Zane, J.T. Walsh",A veteran US Marine sniper is partnered with a rookie sniper as his spotter to take out a politician and a rebel leader in the jungles of Panama.,Action
13.0,The Bourne Ultimatum,2007,1h 55m,12,8.0, (677K),Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Action
14.0,터미네이터,1984,1h 47m,18,8.1, (982K),James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,Action
15.0,Taken,2008,1h 30m,19,7.7, (663K),Pierre Morel,"Liam Neeson, Maggie Grace, Leland Orser","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Action
16.0,Olympus Has Fallen,2013,1h 59m,18,6.5, (303K),Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Finley Jacobsen",Secret Service agent Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack and works with national security to rescue the President from his kidnappers.,Action
17.0,Out for Justice,1991,1h 31m,18,6.1, (27K),John Flynn,"Steven Seagal, William Forsythe, Jerry Orbach","With his partner executed in broad daylight by a psychotic mafia enforcer, a veteran Brooklyn officer vows revenge. But is the unstoppable detective prepared to face the truth and pay the price of blood?",Action
