Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Genre,Description
1,Están todos bien,1990,1h 58m,13,"7,6"," (4,8 mil)",Giuseppe Tornatore,"Marcello Mastroianni, Michèle Morgan, Valeria Cavalli",Family,Matteo se embarca en un viaje por Italia para visitar a sus cinco hijos.
2,El primer día del resto de tu vida,2008,1h 54m,,"7,5", (10 mil),Rémi Bezançon,"Jacques Gamblin, Zabou Breitman, Déborah François",Family,Five key days in a family's life.
3,Depuis qu'Otar est parti...,2003,1h 43m,Unrated,"7,5"," (2,7 mil)",Julie Bertuccelli,"Esther Gorintin, Nino Khomasuridze, Dinara Drukarova",Family,"The one joy in the lives of a mother and daughter comes from the regular letters sent to them from Paris from the family's adored son, Otar. When the daughter finds out that Otar has died suddenly, she tries to conceal the truth from her mother, changing the course of their lives forever."
4,Po semeynym obstoyatelstvam,1978,2h 8m,,"7,6"," (1,1 mil)",Aleksey Korenev,"Galina Polskikh, Yevgeniya Khanayeva, Evgeniy Evstigneev",Family,"Varias historias de amor en torno a una familia joven, incluidos los padres de los recién casados e incluso la abuela."
5,Agosto,2013,2h 1m,16,"7,2", (98 mil),John Wells,"Meryl Streep, Julia Roberts, Chris Cooper",Family,"Una mirada a las vidas de las determinadas mujeres de la familia Weston, quienes regresan a Oklahoma con motivo de una crisis familiar."
6,El juez,2014,2h 21m,12,"7,4", (216 mil),David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga",Family,"El abogado de la gran ciudad, Hank Palmer, regresa a la casa de su infancia, donde su padre, el juez del pueblo, es sospechoso de asesinato. Hank se propone descubrir la verdad y, por el camino, se reencuentra con su familia distanciada."
7,Pequeña Miss Sunshine,2006,1h 41m,7,"7,8", (547 mil),Jonathan Dayton,"Valerie Faris, Abigail Breslin, Greg Kinnear, Paul Dano",Family,Una familia decidida a llevar a su hija pequeña a la final de un concurso de belleza emprende un viaje en furgoneta a través del país.
8,Junebug,2005,1h 46m,13,"6,9", (24 mil),Phil Morrison,"Embeth Davidtz, David Kuhn, Alessandro Nivola",Family,"Un comerciante de arte viaja de Chicago a Carolina del Norte para conocer a sus nuevos suegros, desafiando el equilibrio de esta casa sureña de clase media."
9,Deti Don-Kikhota,1966,1h 18m,,"7,4", (423),Yevgeni Karelov,"Anatoliy Papanov, Vera Orlova, Natalya Fateeva",Family,"The head of maternity clinic is nicknamed Don Quixote by his neighbors. He spends days and nights with newborn children, forgetting about his own growing sons."
10,Padre e hijos,2003,1h 35m,,"6,6", (795),Michel Boujenah,"Philippe Noiret, Charles Berling, Bruno Putzulu",Family,An old man comes up with a subterfuge to reconcile his estranged sons.
11,El Juego de Zucker,2004,1h 35m,Unrated,"6,7"," (2,9 mil)",Dani Levy,"Henry Hübchen, Hannelore Elsner, Udo Samel",Family,"A Journalist of Jewish descent in Berlin feels that he is a loser of the political changes in Germany after 1989. When his mother dies, he has to meet his brother to whom he has not talked for years and to meet all his other family members. But during the preparations for the funeral he plays a snooker-cup for paying his debts with the money for the victory, and many other things mixes up."
12,Mayrig,1991,2h 37m,,"7,5"," (3,8 mil)",Henri Verneuil,"Claudia Cardinale, Omar Sharif, Nathalie Roussel",Family,The saga of an Armenian family that immigrated to France after the break-up of the oppressive Ottoman Empire.
13,Hatuna Meuheret,2001,1h 42m,Unrated,"7,1"," (3,7 mil)",Dover Koshashvili,"Lior Ashkenazi, Ronit Elkabetz, Moni Moshonov",Family,"Torn between family expectations to marry a virgin bride and his love for divorced mom Judith, 31-year-old Zaza navigates traditional matchmaking while hiding his true feelings."
14,Still Walking,2008,1h 55m,Not Rated,"7,9", (20 mil),Hirokazu Koreeda,"Hiroshi Abe, Yui Natsukawa, You",Family,Una familia se reúne para un ritual conmemorativo cuya naturaleza solo se aclara gradualmente.
15,La familia,1987,2h,13,"7,4"," (2,7 mil)",Ettore Scola,"Emanuele Lamaro, Andrea Occhipinti, Vittorio Gassman",Family,"With the background of the XX century Italian history, Carlo, a retired teacher, traces the vicissitudes of his family."
16,Matrimonio a la italiana,1964,1h 42m,Not Rated,"7,4", (12 mil),Vittorio De Sica,"Sophia Loren, Marcello Mastroianni, Aldo Puglisi",Family,"El rico Doménico y Filomena, una prostituta sin dinero, comparten gran parte de sus vidas en la Italia inmediatamente posterior a la Segunda Guerra Mundial."
17,Dolgie provody,1971,1h 37m,Not Rated,"7,3"," (1,3 mil)",Kira Muratova,"Zinaida Sharko, Oleg Vladimirsky, Yuriy Kayurov",Family,"A single mother is confused by the changes in her teenage son, who has become distant since spending summer vacation with his father."
18,Mamma Roma,1962,1h 46m,7,"7,8", (11 mil),Pier Paolo Pasolini,"Anna Magnani, Ettore Garofolo, Franco Citti",Family,"Habiendo renunciado a su ignominioso pasado, una ex prostituta se reencuentra con su hijo."
19,Nochnye zabavy,1991,2h 15m,,"7,6", (387),Vladimir Krasnopolskiy,"Valeriy Uskov, Evgeniy Evstigneev, Aleksandra Kolkunova, Irina Alfyorova",Family,"The husband is a subordinate. The lover is the boss. And the ""wise"" adult daughter, who is trying to save her father's reputation and catch her mother, drawing an unfamiliar restaurant saxophonist into this farce."
20,Papa,2004,1h 34m,Not Rated,"7,4", (944),Vladimir Mashkov,"Vladimir Mashkov, Egor Beroev, Andrei Rozendent",Family,"This film derives from A. Galych's play, ""Matrosskaya Tishina,"" ""Papa"" tells a story of a Jewish father who dreams of seeing his son perform on stage in front of huge audiences, dreams of seeing him as the greatest violinist of his time. To achieve this goal, he teaches his son Dodik how to play the violin from an early age. When Dodik grows up he leaves the small town he and his father lived in to study in the Moscow Conservatory, leaving his past behind. But one day he has to choose either to lose his father or everything he has achieved."
21,S lyubimymi ne rasstavaytes,1980,1h 16m,,"6,9", (269),Pavel Arsenov,"Irina Alfyorova, Aleksandr Abdulov, Lyudmila Drebnyova",Family,"Mitya stops believing his wife Katya. He is tormented, tormented by jealousy, despite the fact that his wife did not cheat. They are getting divorced. Shortly after the divorce, Katya ends up in the hospital. Quiet, with dull eyes, Mitya visits her. Their date is coming to an end. And suddenly she screams, choking with sobs: ""I miss you, Mitya!"" Suspicions, doubts, jealousy - everything is gone. Only love remained - real, all-consuming, subjected to a cruel test and rediscovered itself."
22,Ty u menya odna,1993,1h 32m,,"7,1", (532),Dmitriy Astrakhan,"Aleksandr Zbruev, Mark Goronok, Marina Neyolova",Family,"Listening to the sweet sound of the song ""You are the only one"" Eugene can't choose which shore to join - America or Russia."
23,Quemado por el sol,1994,2h 15m,13,"7,8", (17 mil),Nikita Mikhalkov,"Oleg Menshikov, Nikita Mikhalkov, Ingeborga Dapkunaite",Family,"En la Unión Soviética de 1936, la sombra de las represiones de Stalin se cierne sobre un famoso héroe de la revolución."
24,¿A quién ama Gilbert Grape?,1993,1h 58m,A,"7,7", (265 mil),Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis",Family,"Después de la muerte de su padre, Gilbert tiene que cuidar a su hermano con discapacidad mental, Arnie, y a su madre con obesidad mórbida. Sin embargo, esta situación se pone en tela de juicio de repente, cuando el amor entra en su vida de forma inesperada."
25,Aberdeen,2000,1h 53m,TV-MA,"7,1"," (3,6 mil)",Hans Petter Moland,"Stellan Skarsgård, Lena Headey, Jean Johansson",Family,"A mom dying in Aberdeen, Scotland, asks her coke snorting, nympho, London lawyer daughter to get her estranged, alcoholic dad in Oslo, Norway, to Aberdeen. He's drunk at the airport, so they travel together by car and ferry."
26,La balada de Jack y Rose,2005,1h 52m,R,"6,5", (13 mil),Rebecca Miller,"Camilla Belle, Daniel Day-Lewis, Catherine Keener",Family,Un padre y una hija aislados en una isla de la costa este y que viven en una comuna que antiguamente era próspera se enfrentan a los límites de la familia y la sexualidad.
27,Sin anestesia,1978,2h 11m,16,"7,3", (793),Andrzej Wajda,"Zbigniew Zapasiewicz, Ewa Dalkowska, Andrzej Seweryn",Family,"A famous Polish journalist presents a problem for the powers-that-be when he displays his full political skill and knowledge on a television show featuring questions and answers on a world conference by a panel of journalists. His enemies take away his privileges when he is away. The shock of being ""unwanted"" parallels a deeper disappointment in his private life: his wife has an affair with a jealous young rival, and after 15 years of marriage and two daughters wants a divorce. She offers no explanations as he tries to untie these problems himself. All the moves he makes are the wrong ones. He takes on drinking heavily with students eager to attend his seminar after discovering the class has been canceled. The journalist, once suave and commanding is reduced to silence."
28,El bosque de los abedules,1970,1h 39m,,"6,9", (1 mil),Andrzej Wajda,"Daniel Olbrychski, Olgierd Lukaszewicz, Emilia Krakowska",Family,A musician tries to find his inner peace in a cottage within the woods.
29,Bolshaya semya,1954,1h 48m,,"7,2", (291),Iosif Kheifits,"Sergei Lukyanov, Boris Andreyev, Vera Kuznetsova",Family,"An epic of the Zhurbin family of shipbuilders, spanning several generations."
30,Vassa,1983,2h 20m,,"7,5", (331),Gleb Panfilov,"Inna Churikova, Vadim Mikhaylov, Nikolai Skorobogatov",Family,"Ruthless millionaire Vassa Zheleznova is the head of a wealthy entrepreneurial family. She can do anything to protect its reputation, even push her husband to suicide."
31,Dilber'in Sekiz Günü,2008,1h 47m,,"7,0"," (1,1 mil)",Cemal San,"Nesrin Cavadzade, Firat Tanis, Osman Akca",Family,"Dilber lives with her family in a very poor eastern village, her only dream is to marry her childhood lover, Ali. But when she finds out that it won't happen because of a reason that she can't get away with, she gets crazy and lock herself up in her family's barn."
32,La isla desnuda,1960,1h 36m,Not Rated,"8,0"," (6,6 mil)",Kaneto Shindô,"Nobuko Otowa, Taiji Tonoyama, Shinji Tanaka",Family,"Una familia de cuatro miembros son los únicos habitantes de una pequeña isla, donde luchan cada día para regar sus cultivos."
33,Children of Heaven,1997,1h 29m,13,"8,2", (88 mil),Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi",Family,"Los zapatos de Zohres se han perdido; su hermano mayor Ali se los perdió. Son pobres, no hay zapatos para Zohre..... hasta que apareció una idea: compartirán un par de zapatos, La escuela de Alis,espera. ¿Logrará el plan?"
34,La casa en la que vivo,1957,1h 40m,,"7,7", (498),Lev Kulidzhanov,"Yakov Segel, Valentina Telegina, Nikolai Yelizarov, Vladimir Zemlyanikin",Family,A film about war from the point of view of those left behind.
35,Fang xiang zhi lu,2006,1h 54m,,"7,1", (314),Jiarui Zhang,"Wei Fan, Lu Huang, Hongyi Li",Family,"Aboard a bus in the rural mountains of China, a naive young girl name Li Chunfen attends to passengers' needs, all the while speaking of the virtues of the Communist Party. The always loyal Li is happy to serve the driver, Old Cui, a kind of father figure to her who also acts as the consoling voice of the party. When she develops an acute case of puppy love for a frequent passenger -- an emotion that leads to a chased kiss and a rape report, she learns all too well that her party and driver might not always have her best interests in mind. But how big of hand will the Cultural Revolution play in Li's life? How much control will she have over her own fate? Spanning five decades of Li's life, The Road is a coming-of-age tale of epic proportions. Heartbreakingly beautiful -- the countryside cinematography is jaw-dropping -- and tragically timely, the film stands out as a masterful work from a powerful new Chinese voice, director Zhang Jiarui, reminding us of a painful history and warning us never to repeat it."
36,Revolutionary Road,2008,1h 59m,13,"7,3", (233 mil),Sam Mendes,"Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald",Family,Una joven pareja que vive en un barrio de Connecticut a mediados de la década de 1950 lucha por resolver sus problemas personales mientras tratan de criar a sus dos hijos.
37,Doch,2012,1h 50m,,"7,4", (552),Aleksandr Kasatkin,"Natalya Nazarova, Mariya Smolnikova, Yana Dubuis, Igor Mazepa",Family,Inna conoce a dos recién llegados a su pequeño pueblo: su promiscua compañera de clase Masha y el hijo del sacerdote Ilya. El pueblo es tristemente célebre por un asesino en serie cuyas víctimas son adolescentes supuestamente indecentes.
38,¡Vivir!,1994,2h 13m,T,"8,3", (22 mil),Yimou Zhang,"You Ge, Gong Li, Ben Niu",Family,"Después de que Fugui y Jiazhen pierdan sus fortunas personales, forman una familia y sobreviven a los difíciles cambios culturales de la China de los años cuarenta a setenta."
