Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Genre,Description
1,Dracula: Pages from a Virgin's Diary,2002,1h 13m,Not Rated,6.8, (2.3K),Guy Maddin,"Wei-Qiang Zhang, Tara Birtwhistle, David Moroni",Horror,"A ballet rendition of Bram Stoker's ""Dracula"", stylized as an Expressionistic silent film."
2,Wendigo,2001,1h 31m,R,5.1, (5.1K),Larry Fessenden,"Patricia Clarkson, Jake Weber, Erik Per Sullivan",Horror,"The legend of the Wendigo, a beast from Indian folklore who is half-man, half-deer, and can change itself at will."
3,공포의 기억,1982,1h 38m,R,5.6, (5.1K),Philippe Mora,"Ronny Cox, Bibi Besch, Paul Clemens",Horror,"A young woman gets raped by a mysterious man-creature, and years later her son begins a horrific transformation into a similar beast."
4,The Cat and the Canary,1939,1h 12m,Approved,7.1, (4.1K),Elliott Nugent,"Bob Hope, Paulette Goddard, John Beal",Horror,"When an eccentric family meets in their uncle's remote, decaying mansion on the tenth anniversary of his death for the reading of his will, murder and madness follow."
5,Mary Shelley's Frankenstein,1994,2h 3m,18,6.3, (62K),Kenneth Branagh,"Robert De Niro, Kenneth Branagh, Tom Hulce",Horror,"When the brilliant but unorthodox scientist Dr. Victor Frankenstein rejects the artificial man that he has created, the Creature escapes and later swears revenge."
6,Dread,2009,1h 38m,18,5.6, (13K),Anthony DiBlasi,"Jackson Rathbone, Hanne Steen, Laura Donnelly",Horror,"Three college students set out to document what other people dread the most. However, one of the three turns out to secretly be a sadistic psychopath who uses this knowledge to gruesomely torture the subjects."
7,Fiend Without a Face,1958,1h 17m,Approved,6.1, (5.2K),Arthur Crabtree,"Marshall Thompson, Terry Kilburn, Kynaston Reeves",Horror,A scientist's thoughts materialize as an army of invisible brain-shaped monsters (complete with spinal-cord tails!) who terrorize an American military base in this nightmarish chiller.
8,Warlock,1989,1h 43m,15,6.2, (20K),Steve Miner,"Julian Sands, Lori Singer, Richard E. Grant",Horror,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit."
9,"Ich seh, Ich seh",2014,1h 39m,18,6.7, (63K),Severin Fiala,"Veronika Franz, Lukas Schwarz, Elias Schwarz, Susanne Wuest",Horror,"Twin boys move to a new house with their mother after she has face-changing cosmetic surgery, but under the bandages is someone the boys don't recognize."
10,Cheap Thrills,2013,1h 28m,Not Rated,6.7, (21K),E.L. Katz,"Pat Healy, Ethan Embry, Sara Paxton",Horror,A scheming couple put a struggling family man and his old friend through a series of increasingly twisted dares over the course of an evening at a local bar.
11,The Hole,2001,1h 42m,18,6.2, (50K),Nick Hamm,"Thora Birch, Desmond Harrington, Daniel Brocklebank",Horror,"Four teenagers discover an underground fallout shelter thanks to a friend, who agrees to have them hide there with the door locked for a few days to escape a school trip. Yet, time passes, and their friend doesn't come back to get them."
12,Fanatic,1965,1h 37m,Approved,6.3, (3.5K),Silvio Narizzano,"Tallulah Bankhead, Stefanie Powers, Peter Vaughan",Horror,A young woman is terrorized by her deceased fiancé's demented mother who blames her for her son's death.
13,The Watcher in the Woods,1980,1h 24m,PG,6.2, (7.7K),John Hough,"Vincent McEveety, Bette Davis, Lynn-Holly Johnson, Kyle Richards",Horror,"When a family moves to a country home, the young girls experience strange happenings that have a link to an occult event years past."
14,Sombre,1998,1h 52m,Not Rated,5.9, (2K),Philippe Grandrieux,"Marc Barbé, Elina Löwensohn, Géraldine Voillat",Horror,A sexually frustrated serial killer takes a liking to a woman he comes across.
15,Black Water,2007,1h 30m,12,5.8, (17K),David Nerlich,"Andrew Traucki, Diana Glenn, Maeve Dermody, Andy Rodoreda",Horror,A boat tour of a mangrove swamp turns into a fight for survival when a group of people are attacked by a ferocious saltwater crocodile.
16,The Living and the Dead,2006,1h 23m,Not Rated,5.8, (2.5K),Simon Rumley,"Leo Bill, Roger Lloyd Pack, Kate Fahy",Horror,"A descent into Hell is triggered when ""Ex-Lord"" Donald Brocklebank finds that he must leave Longleigh House for London to find a way to pay for the medical treatments for his wife Nancy. Alone, his over-protected, delusional, adult son, James, fancies himself in charge of the manor house with his terminally ill mother, and barricades the two of them into the house for a series of ever more panicked home treatments, mistakenly protecting her from the arrival of Nurse Mary and any outside help."
17,De dødes tjern,1958,1h 16m,,6.8, (2.9K),Kåre Bergstrøm,"Erling Lindahl, Bjørg Engh, Henny Moan",Horror,A group of friends travel to a cabin in the Norwegian forest. It's a rumor that at night a crazy man can be heard screaming at a lake nearby the cabin.
18,콘스탄틴,2005,2h 1m,15,7.0, (400K),Francis Lawrence,"Keanu Reeves, Rachel Weisz, Shia LaBeouf",Horror,"Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human world."
19,Mute Witness,1995,1h 35m,18,6.7, (8.1K),Anthony Waller,"Marina Zudina, Fay Ripley, Evan Richards",Horror,"A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture."
20,Fire in the Sky,1993,1h 49m,15,6.5, (31K),Robert Lieberman,"D.B. Sweeney, Robert Patrick, Craig Sheffer",Horror,An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975. His co-workers endure ridicule and contempt as they are wrongly accused of murder.
21,Bloody Birthday,1981,1h 25m,R,5.7, (6.2K),Ed Hunt,"Lori Lethin, Melinda Cordell, Julie Brown",Horror,"Three children are born at the height of an eclipse of the sun. Ten years later, they begin to murder the people around them - even their family members."
22,서드 마더,2007,1h 42m,R,5.0, (12K),Dario Argento,"Asia Argento, Cristian Solimeno, Adam James",Horror,An American art student in Rome accidentally triggers the return of Mater Lachrymarum - the Third Mother - and must use her latent magical powers to end the witch's reign of terror.
23,Blood Diner,1987,1h 28m,Unrated,5.3, (5.9K),Jackie Kong,"Rick Burks, Carl Crew, Roger Dauer",Horror,"Two brothers are entrusted by their uncle to uphold the ritualistic cannibalism of the ancient cult of Sheetar. In order to do so, they have to prepare a feast of sacrifice for the resurrection of their goddess."
24,이창,1954,1h 52m,15,8.5, (556K),Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey",Horror,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
25,La casa sperduta nel parco,1980,1h 31m,,5.7, (6.4K),Ruggero Deodato,"David Hess, Annie Belle, Christian Borromeo",Horror,"Two low-life punks are invited to a party at a posh villa and take everyone hostage after being humiliated by their snobbish guests, subjecting them to rape, torture and mayhem."
26,Dead Heat,1988,1h 24m,R,6.1, (10K),Mark Goldblatt,"Treat Williams, Joe Piscopo, Lindsay Frost",Horror,"A cop is killed investigating a strange case of resurrected corpses. His partner and a pathologist resurrect him, but he only has a limited time before he starts to decompose, and he uses it to chase down the diabolical man who killed him."
27,Sugar Hill,1974,1h 31m,PG,5.8, (2.6K),Paul Maslansky,"Marki Bey, Robert Quarry, Don Pedro Colley",Horror,"After mobsters kill her boyfriend, Sugar Hill makes a deal with Baron Samedi through a voodoo priestess. Trading her soul, she commands a zombie army to exact revenge on those who thought they escaped justice."
28,Class of Nuke 'Em High,1986,1h 25m,R,5.6, (10K),Richard W. Haines,"Lloyd Kaufman, Janelle Brady, Gil Brenton, Robert Prichard",Horror,The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.
29,Carriers,2009,1h 25m,18,5.9, (53K),Àlex Pastor,"David Pastor, Lou Taylor Pucci, Chris Pine, Piper Perabo",Horror,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another."
30,Student Bodies,1981,1h 26m,R,5.4, (5.9K),Mickey Rose,"Michael Ritchie, Kristen Riter, Matthew Goldsby, Richard Brando",Horror,A serial killer with his signature heavy breathing proceeds to systematically kill the students and teachers of Lamab high school.
31,Død snø 2,2014,1h 40m,18,6.8, (28K),Tommy Wirkola,"Geir Vegar Hoel, Ørjan Gamst, Martin Starr",Horror,"Still on the run from a group of Nazi zombies, a man seeks the aid of a group of American zombie enthusiasts, and discovers new techniques for fighting the zombies."
32,Firestarter,1984,1h 54m,15,6.1, (39K),Mark L. Lester,"David Keith, Drew Barrymore, Freddie Jones",Horror,A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.
33,Cockneys vs Zombies,2012,1h 28m,Not Rated,5.9, (21K),Matthias Hoene,"Rasmus Hardiker, Harry Treadaway, Michelle Ryan",Horror,A gang of bank robbers fight their way out of a zombie-infested London.
34,House of Dark Shadows,1970,1h 37m,PG,6.3, (3.7K),Dan Curtis,"Jonathan Frid, Grayson Hall, Kathryn Leigh Scott",Horror,"Vampire Barnabas Collins is accidentally released from his centuries-long confinement at his family's estate in Maine. He targets his clueless descendants who live there now and pursues Maggie, the incarnation of his lost love."
35,Los ojos de Julia,2010,1h 58m,18,6.7, (39K),Guillem Morales,"Belén Rueda, Lluís Homar, Pablo Derqui",Horror,"Julia, a woman suffering from a degenerative sight disease, finds her blind sister Sara hung in a basement. Despite all signs pointing to suicide, Julia decides to investigate what she intuitively feels is a murder case."
36,I Sell the Dead,2008,1h 25m,18,6.0, (11K),Glenn McQuaid,"Dominic Monaghan, Larry Fessenden, Angus Scrimm",Horror,A grave robber reflects on his life of crime.
37,Slaughter High,1985,1h 30m,R,5.3, (7.6K),George Dugdale,"Mark Ezra, Peter Mackenzie Litten, Caroline Munro, Simon Scuddamore, Carmine Iannaccone",Horror,"Eight people are invited to their alma mater for their 10-year reunion, where a fellow former student, disfigured from a prank gone wrong, is out to seek revenge."
38,The Pit,1981,1h 36m,R,5.7, (3.9K),Lew Lehman,"Sammy Snyders, Jeannie Elias, Sonja Smits",Horror,"A bullied and outcast 12-year-old boy makes a disturbing discovery in the depth of a forest. He tells his new babysitter while his parents are away, but she shrugs him off. He finds solace in confiding to his favorite teddy bear."
39,Requiem pour un vampire,1972,1h 27m,R,5.3, (2.5K),Jean Rollin,"Marie-Pierre Castel, Mireille Dargent, Philippe Gasté",Horror,"Two girls on the run get lost in the French countryside, and wind up in a haunted chateau occupied by an ailing vampire and his servants."
40,Fritt vilt II,2008,1h 30m,Not Rated,6.1, (10K),Mats Stenberg,"Ingrid Bolsø Berdal, Marthe Snorresdotter Rovik, Kim Arne Hagen",Horror,"Jannicke wakes up in the hospital. All of her friends are dead. As she walks through the dark corridors, she thinks she is left alone. But the nightmare isn't over yet."
41,The Dentist,1996,1h 32m,18,5.4, (11K),Brian Yuzna,"Corbin Bernsen, Linda Hoffman, Michael Stadvec",Horror,An extremely successful dentist goes off the deep end after he catches his wife cheating on him.
42,It Came from Beneath the Sea,1955,1h 19m,Approved,5.9, (7K),Robert Gordon,"Kenneth Tobey, Faith Domergue, Donald Curtis",Horror,"A giant, radioactive octopus rises from the Philippine Trench to terrorize the North American Pacific Coast."
43,Sightseers,2012,1h 28m,18,6.5, (31K),Ben Wheatley,"Alice Lowe, Kenneth Hadley, Steve Oram",Horror,"Chris wants to show girlfriend Tina his world, but events soon conspire against the couple and their dream caravan holiday takes a very wrong turn."
44,Nochnoy dozor,2004,1h 54m,18,6.4, (57K),Timur Bekmambetov,"Konstantin Khabensky, Vladimir Menshov, Valeriy Zolotukhin",Horror,A fantasy-horror set in present-day Moscow where the respective forces that control daytime and nighttime do battle.
45,Home Movie,2008,1h 17m,R,5.5, (5.2K),Christopher Denham,"Lucian Maisel, Cady McClain, Adrian Pasdar",Horror,"In the remote woods of Upstate New York, David and Clare Poe are attempting to live an idyllic life. However, their twin children's bizarre behavior might just tear the family apart."
46,"Slugs, muerte viscosa",1988,1h 32m,R,5.3, (6.5K),Juan Piquer Simón,"Michael Garfield Levine, Kim Terry, Philip MacHale",Horror,Killer slugs on the rampage in a rural community.
