Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Genre,Description
1,록키,1976,2h,12,8.1, (674K),John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",Sport,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
2,Raging Bull,1980,2h 9m,15,8.1, (402K),Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",Sport,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
3,Hoosiers,1986,1h 54m,PG,7.4, (56K),David Anspaugh,"Gene Hackman, Barbara Hershey, Dennis Hopper",Sport,A coach with a checkered past and a local drunk train a small-town high school basketball team to become a top contender for the state championship in 1950s Indiana.
4,Caddyshack,1980,1h 38m,R,7.2, (133K),Harold Ramis,"Chevy Chase, Rodney Dangerfield, Ted Knight",Sport,An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.
5,Hoop Dreams,1994,2h 50m,12,8.3, (29K),Steve James,"William Gates, Arthur Agee, Emma Gates",Sport,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
6,The Natural,1984,2h 18m,12,7.4, (56K),Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close",Sport,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.
7,밀리언 달러 베이비,2004,2h 12m,12,8.1, (756K),Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman",Sport,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
8,Chariots of Fire,1981,2h 5m,12,7.1, (70K),Hugh Hudson,"Nicholas Farrell, Nigel Havers, Ian Charleson",Sport,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience."
9,Slap Shot,1977,2h 3m,R,7.2, (44K),George Roy Hill,"Paul Newman, Strother Martin, Michael Ontkean",Sport,A failing ice hockey team finds success with outrageously violent hockey goonery.
10,Friday Night Lights,2004,1h 58m,12,7.2, (70K),Peter Berg,"Billy Bob Thornton, Lucas Black, Garrett Hedlund",Sport,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers."
11,Field of Dreams,1989,1h 47m,12,7.5, (136K),Phil Alden Robinson,"Kevin Costner, Amy Madigan, Gaby Hoffmann",Sport,"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true."
12,Cinderella Man,2005,2h 24m,All,8.0, (206K),Ron Howard,"Russell Crowe, Renée Zellweger, Paul Giamatti",Sport,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world."
13,The Bad News Bears,1976,1h 42m,PG,7.3, (27K),Michael Ritchie,"Walter Matthau, Tatum O'Neal, Vic Morrow",Sport,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league."
14,The Wrestler,2008,1h 49m,18,7.9, (328K),Darren Aronofsky,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood",Sport,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
15,터치 다운,1974,2h 1m,15,7.1, (23K),Robert Aldrich,"Burt Reynolds, Eddie Albert, Ed Lauter",Sport,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards."
