iter	Passed	Remaining
0	11	2214
1	16	1638
2	21	1435
3	27	1335
4	32	1283
5	38	1235
6	43	1194
7	48	1166
8	53	1139
9	59	1122
10	64	1101
11	69	1090
12	74	1076
13	80	1066
14	85	1053
15	90	1039
16	95	1027
17	100	1020
18	105	1008
19	110	998
20	116	991
21	121	982
22	126	975
23	132	971
24	137	964
25	142	956
26	148	949
27	153	942
28	158	935
29	164	929
30	169	922
31	174	915
32	179	908
33	184	902
34	189	894
35	194	886
36	199	880
37	204	873
38	210	866
39	215	861
40	220	855
41	225	848
42	230	843
43	236	837
44	241	832
45	246	826
46	252	820
47	258	817
48	263	811
49	269	807
50	274	800
51	279	795
52	284	790
53	289	783
54	295	778
55	300	772
56	305	766
57	310	760
58	315	754
59	321	749
60	326	743
61	331	738
62	336	732
63	342	726
64	347	720
65	352	715
66	357	709
67	362	704
68	367	698
69	373	693
70	378	687
71	383	682
72	389	677
73	394	671
74	400	666
75	405	661
76	410	656
77	415	650
78	421	644
79	426	639
80	431	633
81	436	628
82	442	623
83	447	617
84	453	612
85	458	607
86	463	602
87	468	596
88	473	591
89	479	585
90	484	580
91	490	575
92	495	569
93	500	564
94	506	559
95	511	554
96	517	548
97	522	543
98	527	538
99	532	532
100	537	526
101	542	521
102	547	515
103	552	510
104	558	504
105	563	499
106	568	493
107	573	488
108	578	483
109	583	477
110	589	472
111	594	467
112	599	461
113	605	456
114	610	451
115	615	445
116	621	440
117	626	435
118	631	430
119	637	424
120	642	419
121	647	414
122	653	408
123	658	403
124	663	398
125	669	393
126	674	387
127	679	382
128	685	377
129	690	371
130	695	366
131	700	360
132	705	355
133	710	350
134	716	344
135	721	339
136	726	334
137	731	328
138	736	323
139	742	318
140	747	312
141	752	307
142	758	302
143	763	296
144	768	291
145	773	286
146	778	280
147	783	275
148	789	270
149	794	264
150	799	259
151	804	254
152	809	248
153	815	243
154	820	238
155	825	232
156	831	227
157	836	222
158	841	216
159	846	211
160	851	206
161	856	200
162	861	195
163	867	190
164	872	185
165	877	179
166	882	174
167	888	169
168	893	163
169	899	158
170	904	153
171	909	148
172	915	142
173	920	137
174	925	132
175	930	126
176	936	121
177	942	116
178	947	111
179	952	105
180	957	100
181	963	95
182	968	89
183	974	84
184	979	79
185	985	74
186	991	68
187	996	63
188	1001	58
189	1006	52
190	1011	47
191	1017	42
192	1022	37
193	1028	31
194	1033	26
195	1039	21
196	1044	15
197	1049	10
198	1054	5
199	1060	0
