iter	MultiClass
0	1.337806265
1	1.293976144
2	1.262461618
3	1.230553344
4	1.196103809
5	1.173315139
6	1.151871375
7	1.130922466
8	1.108873149
9	1.093505667
10	1.078099812
11	1.063515736
12	1.049426763
13	1.033373318
14	1.022176133
15	1.009174307
16	0.999422687
17	0.9903862899
18	0.9822526264
19	0.9734194726
20	0.9670287214
21	0.9570726297
22	0.943389831
23	0.9357254346
24	0.9275292699
25	0.9214025442
26	0.914468827
27	0.9077674066
28	0.9032972534
29	0.898176222
30	0.8897516531
31	0.8832107532
32	0.8767287342
33	0.8706038589
34	0.8662528727
35	0.860513651
36	0.8552721871
37	0.8507007509
38	0.8458944711
39	0.8412162281
40	0.8368419506
41	0.8322969446
42	0.8279902231
43	0.8233708545
44	0.8182628343
45	0.8148814707
46	0.8003887713
47	0.7963813369
48	0.7935733033
49	0.7898836246
50	0.7860683824
51	0.7818783411
52	0.7763045526
53	0.7734393837
54	0.7698635248
55	0.7663777255
56	0.7556697832
57	0.7523510558
58	0.7490550238
59	0.7451065936
60	0.7356445559
61	0.7319311711
62	0.7282950114
63	0.7246532634
64	0.7219336035
65	0.7189128779
66	0.7158060979
67	0.7135051699
68	0.7090786907
69	0.705479293
70	0.7033202456
71	0.6972322676
72	0.6894299894
73	0.6869076854
74	0.683383417
75	0.6811485882
76	0.6785871328
77	0.6763916247
78	0.6733261135
79	0.6712395095
80	0.6694514507
81	0.6666919035
82	0.6599700798
83	0.6573469344
84	0.6546284314
85	0.6488813305
86	0.6450157214
87	0.642275336
88	0.6373629668
89	0.6353082784
90	0.6323540696
91	0.6297761139
92	0.6281780703
93	0.6261366473
94	0.6234755445
95	0.6211688612
96	0.6191560173
97	0.6165369583
98	0.6142002091
99	0.6116498545
100	0.6095597082
101	0.6078533478
102	0.6047867879
103	0.6027500982
104	0.6006394892
105	0.5986267053
106	0.5966109937
107	0.5946884614
108	0.5927833116
109	0.5874258752
110	0.5850594366
111	0.5832496769
112	0.5814771912
113	0.5791826085
114	0.5769438639
115	0.5751756569
116	0.5736030654
117	0.5679887692
118	0.5660910121
119	0.5648566074
120	0.5628001378
121	0.5610811917
122	0.5564582086
123	0.5525806134
124	0.550947248
125	0.549526942
126	0.5482506029
127	0.5469591572
128	0.5457967898
129	0.544766846
130	0.5436390433
131	0.5411873536
132	0.5398855914
133	0.5376942361
134	0.5366161375
135	0.5350574108
136	0.5340286745
137	0.5322278283
138	0.5294275745
139	0.5282907685
140	0.5271366877
141	0.5245693781
142	0.5231019402
143	0.5216123681
144	0.5204363764
145	0.5192543877
146	0.516806519
147	0.5158265253
148	0.5146505178
149	0.5130698146
150	0.5121680678
151	0.511074393
152	0.5100347394
153	0.5090084842
154	0.5067678436
155	0.5038166159
156	0.5021581299
157	0.5013728343
158	0.5003144617
159	0.4976113774
160	0.4966257941
161	0.4956921607
162	0.4944293171
163	0.4924324415
164	0.4911155452
165	0.4897404988
166	0.4883827309
167	0.4872639594
168	0.4864663016
169	0.4854674424
170	0.4832252238
171	0.4817938087
172	0.4804457579
173	0.4796759463
174	0.4786863822
175	0.4776052572
176	0.476760927
177	0.475633448
178	0.4745463033
179	0.4735404785
180	0.4723022451
181	0.4714155402
182	0.4706225843
183	0.4681950252
184	0.4672990058
185	0.4664766338
186	0.4656486466
187	0.4637632158
188	0.4631032936
189	0.4607279147
190	0.458286479
191	0.4560712372
192	0.455403081
193	0.4542861055
194	0.4534644087
195	0.4524910573
196	0.4519652074
197	0.4515550882
198	0.450887518
199	0.4499526939
