iter	Passed	Remaining
0	12	2499
1	17	1774
2	23	1545
3	28	1411
4	34	1339
5	39	1278
6	44	1227
7	49	1192
8	54	1162
9	60	1141
10	65	1120
11	70	1100
12	75	1086
13	80	1073
14	86	1063
15	91	1052
16	96	1039
17	101	1029
18	106	1018
19	112	1009
20	118	1006
21	123	998
22	128	988
23	134	982
24	139	977
25	144	970
26	150	962
27	155	954
28	160	948
29	166	943
30	171	935
31	177	930
32	182	922
33	187	914
34	192	908
35	197	899
36	203	894
37	208	888
38	213	882
39	219	876
40	224	870
41	229	864
42	235	858
43	240	851
44	245	845
45	250	839
46	256	834
47	261	828
48	266	822
49	272	816
50	277	810
51	282	804
52	287	798
53	293	792
54	298	786
55	303	780
56	308	775
57	314	769
58	319	763
59	324	758
60	330	752
61	335	747
62	340	741
63	346	735
64	351	730
65	356	724
66	362	719
67	367	713
68	373	708
69	378	703
70	383	696
71	389	691
72	394	686
73	399	680
74	404	674
75	410	669
76	415	663
77	420	658
78	426	652
79	431	646
80	436	641
81	442	636
82	447	630
83	452	624
84	458	619
85	463	614
86	468	608
87	473	603
88	479	597
89	484	591
90	489	586
91	495	581
92	500	575
93	505	570
94	510	564
95	516	559
96	521	554
97	526	548
98	532	543
99	537	537
100	542	531
101	547	526
102	552	520
103	558	515
104	563	509
105	568	504
106	574	499
107	580	494
108	585	488
109	590	483
110	596	477
111	601	472
112	606	466
113	611	461
114	616	456
115	622	450
116	627	445
117	632	439
118	638	434
119	643	429
120	648	423
121	654	418
122	659	412
123	664	407
124	669	401
125	674	396
126	680	390
127	685	385
128	690	380
129	695	374
130	701	369
131	706	364
132	711	358
133	717	353
134	722	347
135	727	342
136	733	337
137	738	331
138	743	326
139	748	320
140	754	315
141	759	310
142	765	304
143	770	299
144	776	294
145	781	289
146	786	283
147	791	278
148	797	272
149	802	267
150	808	262
151	813	256
152	818	251
153	823	246
154	829	240
155	834	235
156	840	230
157	845	224
158	850	219
159	856	214
160	862	208
161	867	203
162	872	198
163	877	192
164	882	187
165	888	181
166	893	176
167	898	171
168	903	165
169	909	160
170	914	155
171	919	149
172	924	144
173	930	138
174	935	133
175	940	128
176	946	122
177	951	117
178	956	112
179	961	106
180	967	101
181	972	96
182	977	90
183	982	85
184	988	80
185	993	74
186	998	69
187	1004	64
188	1009	58
189	1014	53
190	1020	48
191	1025	42
192	1031	37
193	1036	32
194	1042	26
195	1047	21
196	1052	16
197	1057	10
198	1063	5
199	1068	0
