iter	Passed	Remaining
0	7	1418
1	12	1282
2	18	1202
3	23	1161
4	29	1131
5	34	1102
6	39	1082
7	44	1062
8	49	1044
9	54	1032
10	59	1018
11	64	1009
12	69	999
13	74	988
14	79	981
15	84	971
16	89	964
17	94	958
18	100	956
19	105	953
20	111	946
21	116	942
22	121	934
23	126	926
24	131	923
25	137	917
26	142	911
27	147	907
28	152	900
29	158	896
30	163	889
31	168	882
32	173	877
33	178	870
34	183	865
35	188	859
36	193	852
37	198	846
38	203	840
39	208	835
40	213	829
41	218	822
42	223	816
43	228	810
44	234	806
45	238	799
46	243	793
47	249	788
48	254	783
49	259	777
50	264	772
51	269	766
52	274	760
53	279	756
54	284	750
55	289	745
56	295	740
57	300	735
58	305	730
59	310	724
60	315	719
61	320	714
62	325	708
63	330	702
64	335	697
65	341	693
66	346	687
67	351	682
68	356	677
69	361	671
70	366	666
71	372	661
72	376	655
73	382	650
74	387	645
75	392	640
76	397	634
77	402	628
78	407	623
79	412	618
80	417	613
81	422	607
82	427	602
83	432	596
84	437	591
85	442	586
86	447	581
87	452	576
88	457	570
89	463	566
90	468	561
91	474	556
92	479	551
93	485	546
94	490	541
95	495	536
96	500	531
97	505	526
98	510	521
99	515	515
100	520	510
101	526	505
102	531	500
103	536	495
104	541	489
105	546	484
106	551	479
107	557	474
108	562	469
109	567	464
110	572	459
111	578	454
112	583	449
113	588	444
114	593	438
115	598	433
116	603	428
117	608	422
118	613	417
119	618	412
120	623	407
121	628	402
122	634	397
123	639	391
124	644	386
125	649	381
126	654	376
127	659	370
128	664	365
129	669	360
130	674	355
131	679	350
132	685	345
133	690	339
134	695	334
135	700	329
136	705	324
137	710	319
138	715	314
139	720	308
140	725	303
141	730	298
142	736	293
143	740	288
144	746	283
145	751	277
146	756	272
147	761	267
148	766	262
149	771	257
150	776	251
151	781	246
152	786	241
153	791	236
154	796	231
155	801	226
156	806	220
157	811	215
158	816	210
159	821	205
160	826	200
161	831	195
162	837	190
163	842	184
164	847	179
165	852	174
166	857	169
167	862	164
168	867	159
169	872	154
170	878	148
171	883	143
172	888	138
